Position Y,,,,,
 ==================== ,,,,,
Position Y,Unit,Category,Collection,Time,ID
1631.73,µm,Surface,Position,1,163
1782.54,µm,Surface,Position,1,164
1079.68,µm,Surface,Position,1,165
1104.91,µm,Surface,Position,1,166
1048.33,µm,Surface,Position,1,167
1030.9,µm,Surface,Position,1,168
1448.45,µm,Surface,Position,1,169
1489.22,µm,Surface,Position,1,170
1558.78,µm,Surface,Position,1,171
1453.97,µm,Surface,Position,1,172
1518.75,µm,Surface,Position,1,173
1681.69,µm,Surface,Position,1,174
913.123,µm,Surface,Position,1,175
1379.08,µm,Surface,Position,1,176
1424.66,µm,Surface,Position,1,177
1456.11,µm,Surface,Position,1,178
766.812,µm,Surface,Position,1,179
978.241,µm,Surface,Position,1,180
876.507,µm,Surface,Position,1,181
1406.64,µm,Surface,Position,1,182
702.223,µm,Surface,Position,1,183
720.602,µm,Surface,Position,1,184
758.409,µm,Surface,Position,1,185
684.59,µm,Surface,Position,1,186
982.379,µm,Surface,Position,1,187
1012.55,µm,Surface,Position,1,188
941.633,µm,Surface,Position,1,189
969.133,µm,Surface,Position,1,190
928.957,µm,Surface,Position,1,191
915.862,µm,Surface,Position,1,192
968.299,µm,Surface,Position,1,193
837.641,µm,Surface,Position,1,194
871.145,µm,Surface,Position,1,195
924.349,µm,Surface,Position,1,196
