Ellipsoid Axis B Y,,,,,
 ==================== ,,,,,
Ellipsoid Axis B Y,Unit,Category,Collection,Time,ID
0.10477,µm,Surface,Ellipsoid Axis B,1,108
-0.297372,µm,Surface,Ellipsoid Axis B,1,109
-0.143495,µm,Surface,Ellipsoid Axis B,1,110
-0.880453,µm,Surface,Ellipsoid Axis B,1,111
0.940385,µm,Surface,Ellipsoid Axis B,1,112
0.517015,µm,Surface,Ellipsoid Axis B,1,113
-0.284839,µm,Surface,Ellipsoid Axis B,1,114
0.326184,µm,Surface,Ellipsoid Axis B,1,115
-0.687975,µm,Surface,Ellipsoid Axis B,1,116
0.385922,µm,Surface,Ellipsoid Axis B,1,117
-0.642075,µm,Surface,Ellipsoid Axis B,1,118
0.798193,µm,Surface,Ellipsoid Axis B,1,119
-0.855349,µm,Surface,Ellipsoid Axis B,1,120
0.982233,µm,Surface,Ellipsoid Axis B,1,121
-0.490616,µm,Surface,Ellipsoid Axis B,1,122
-0.988595,µm,Surface,Ellipsoid Axis B,1,123
-0.693511,µm,Surface,Ellipsoid Axis B,1,124
0.911338,µm,Surface,Ellipsoid Axis B,1,125
0.884817,µm,Surface,Ellipsoid Axis B,1,126
-0.51173,µm,Surface,Ellipsoid Axis B,1,127
0.522112,µm,Surface,Ellipsoid Axis B,1,128
-0.87071,µm,Surface,Ellipsoid Axis B,1,129
-0.786818,µm,Surface,Ellipsoid Axis B,1,130
-0.176556,µm,Surface,Ellipsoid Axis B,1,131
-0.431617,µm,Surface,Ellipsoid Axis B,1,132
-0.807444,µm,Surface,Ellipsoid Axis B,1,133
0.0946174,µm,Surface,Ellipsoid Axis B,1,134
0.704358,µm,Surface,Ellipsoid Axis B,1,135
-0.523622,µm,Surface,Ellipsoid Axis B,1,136
-0.986471,µm,Surface,Ellipsoid Axis B,1,137
-0.0724166,µm,Surface,Ellipsoid Axis B,1,138
0.374047,µm,Surface,Ellipsoid Axis B,1,139
-0.0827044,µm,Surface,Ellipsoid Axis B,1,140
-0.920603,µm,Surface,Ellipsoid Axis B,1,141
0.680083,µm,Surface,Ellipsoid Axis B,1,142
