Ellipsoid Axis B X,,,,,
 ==================== ,,,,,
Ellipsoid Axis B X,Unit,Category,Collection,Time,ID
0.168158,µm,Surface,Ellipsoid Axis B,1,111
0.0609194,µm,Surface,Ellipsoid Axis B,1,112
0.855263,µm,Surface,Ellipsoid Axis B,1,113
0.884646,µm,Surface,Ellipsoid Axis B,1,114
0.877305,µm,Surface,Ellipsoid Axis B,1,115
-0.724426,µm,Surface,Ellipsoid Axis B,1,116
-0.0137414,µm,Surface,Ellipsoid Axis B,1,117
0.711835,µm,Surface,Ellipsoid Axis B,1,118
-0.51201,µm,Surface,Ellipsoid Axis B,1,119
0.495324,µm,Surface,Ellipsoid Axis B,1,120
0.176434,µm,Surface,Ellipsoid Axis B,1,121
-0.839592,µm,Surface,Ellipsoid Axis B,1,122
0.149783,µm,Surface,Ellipsoid Axis B,1,123
-0.541108,µm,Surface,Ellipsoid Axis B,1,124
0.226519,µm,Surface,Ellipsoid Axis B,1,125
0.460036,µm,Surface,Ellipsoid Axis B,1,126
-0.597289,µm,Surface,Ellipsoid Axis B,1,127
0.852605,µm,Surface,Ellipsoid Axis B,1,128
0.0948095,µm,Surface,Ellipsoid Axis B,1,129
0.00737506,µm,Surface,Ellipsoid Axis B,1,130
0.452141,µm,Surface,Ellipsoid Axis B,1,131
0.86709,µm,Surface,Ellipsoid Axis B,1,132
-0.236045,µm,Surface,Ellipsoid Axis B,1,133
0.994823,µm,Surface,Ellipsoid Axis B,1,134
0.709834,µm,Surface,Ellipsoid Axis B,1,135
-0.599061,µm,Surface,Ellipsoid Axis B,1,136
-0.128893,µm,Surface,Ellipsoid Axis B,1,137
0.990453,µm,Surface,Ellipsoid Axis B,1,138
0.913198,µm,Surface,Ellipsoid Axis B,1,139
0.456157,µm,Surface,Ellipsoid Axis B,1,140
0.299514,µm,Surface,Ellipsoid Axis B,1,141
0.650638,µm,Surface,Ellipsoid Axis B,1,142
-0.991272,µm,Surface,Ellipsoid Axis B,1,143
0.887291,µm,Surface,Ellipsoid Axis B,1,144
0.0522583,µm,Surface,Ellipsoid Axis B,1,145
-0.0201161,µm,Surface,Ellipsoid Axis B,1,146
-0.292987,µm,Surface,Ellipsoid Axis B,1,147
-0.201888,µm,Surface,Ellipsoid Axis B,1,148
-0.297644,µm,Surface,Ellipsoid Axis B,1,149
-0.354992,µm,Surface,Ellipsoid Axis B,1,150
0.955554,µm,Surface,Ellipsoid Axis B,1,151
0.69536,µm,Surface,Ellipsoid Axis B,1,152
0.946335,µm,Surface,Ellipsoid Axis B,1,153
0.995864,µm,Surface,Ellipsoid Axis B,1,154
-0.901418,µm,Surface,Ellipsoid Axis B,1,155
0.985218,µm,Surface,Ellipsoid Axis B,1,156
0.383428,µm,Surface,Ellipsoid Axis B,1,157
-0.379814,µm,Surface,Ellipsoid Axis B,1,158
0.915782,µm,Surface,Ellipsoid Axis B,1,159
-0.797292,µm,Surface,Ellipsoid Axis B,1,160
-0.218741,µm,Surface,Ellipsoid Axis B,1,161
0.208765,µm,Surface,Ellipsoid Axis B,1,162
0.540727,µm,Surface,Ellipsoid Axis B,1,163
0.999563,µm,Surface,Ellipsoid Axis B,1,164
0.514278,µm,Surface,Ellipsoid Axis B,1,165
-0.0339579,µm,Surface,Ellipsoid Axis B,1,166
-0.933774,µm,Surface,Ellipsoid Axis B,1,167
0.893325,µm,Surface,Ellipsoid Axis B,1,168
-0.622399,µm,Surface,Ellipsoid Axis B,1,169
0.877037,µm,Surface,Ellipsoid Axis B,1,170
0.268431,µm,Surface,Ellipsoid Axis B,1,171
0.123134,µm,Surface,Ellipsoid Axis B,1,172
-0.019898,µm,Surface,Ellipsoid Axis B,1,173
0.43144,µm,Surface,Ellipsoid Axis B,1,174
0.983623,µm,Surface,Ellipsoid Axis B,1,175
0.985423,µm,Surface,Ellipsoid Axis B,1,176
-0.0751285,µm,Surface,Ellipsoid Axis B,1,177
0.625337,µm,Surface,Ellipsoid Axis B,1,178
0.881748,µm,Surface,Ellipsoid Axis B,1,179
-0.68209,µm,Surface,Ellipsoid Axis B,1,180
0.995217,µm,Surface,Ellipsoid Axis B,1,181
-0.0444455,µm,Surface,Ellipsoid Axis B,1,182
0.997922,µm,Surface,Ellipsoid Axis B,1,183
-0.576137,µm,Surface,Ellipsoid Axis B,1,184
-0.233278,µm,Surface,Ellipsoid Axis B,1,185
0.955579,µm,Surface,Ellipsoid Axis B,1,186
0.0490634,µm,Surface,Ellipsoid Axis B,1,187
0.391755,µm,Surface,Ellipsoid Axis B,1,188
-0.194333,µm,Surface,Ellipsoid Axis B,1,189
-0.0633219,µm,Surface,Ellipsoid Axis B,1,190
-0.149145,µm,Surface,Ellipsoid Axis B,1,191
-0.308957,µm,Surface,Ellipsoid Axis B,1,192
-0.946287,µm,Surface,Ellipsoid Axis B,1,193
0.361219,µm,Surface,Ellipsoid Axis B,1,194
0.289803,µm,Surface,Ellipsoid Axis B,1,195
-0.0788718,µm,Surface,Ellipsoid Axis B,1,196
