Volume,,,,
 ==================== ,,,,
Volume,Unit,Category,Time,ID
21012.9,µm^3,Surface,1,180
14212.6,µm^3,Surface,1,181
16485.8,µm^3,Surface,1,182
578.033,µm^3,Surface,1,183
913.987,µm^3,Surface,1,184
2231.02,µm^3,Surface,1,185
35203.1,µm^3,Surface,1,186
4260.45,µm^3,Surface,1,187
9174.92,µm^3,Surface,1,188
796.304,µm^3,Surface,1,189
3582.75,µm^3,Surface,1,190
145.19,µm^3,Surface,1,191
21718.2,µm^3,Surface,1,192
6272.23,µm^3,Surface,1,193
18626,µm^3,Surface,1,194
19062.3,µm^3,Surface,1,195
15224.2,µm^3,Surface,1,196
