Ellipsoid Axis C Y,,,,,
 ==================== ,,,,,
Ellipsoid Axis C Y,Unit,Category,Collection,Time,ID
-0.902139,µm,Surface,Ellipsoid Axis C,1,108
-0.162951,µm,Surface,Ellipsoid Axis C,1,109
0.0114644,µm,Surface,Ellipsoid Axis C,1,110
0.461766,µm,Surface,Ellipsoid Axis C,1,111
-0.334074,µm,Surface,Ellipsoid Axis C,1,112
-0.23861,µm,Surface,Ellipsoid Axis C,1,113
0.10932,µm,Surface,Ellipsoid Axis C,1,114
-0.365792,µm,Surface,Ellipsoid Axis C,1,115
-0.0227237,µm,Surface,Ellipsoid Axis C,1,116
-0.908994,µm,Surface,Ellipsoid Axis C,1,117
0.055085,µm,Surface,Ellipsoid Axis C,1,118
0.184135,µm,Surface,Ellipsoid Axis C,1,119
-0.0848597,µm,Surface,Ellipsoid Axis C,1,120
0.0995437,µm,Surface,Ellipsoid Axis C,1,121
-0.218435,µm,Surface,Ellipsoid Axis C,1,122
-0.0314329,µm,Surface,Ellipsoid Axis C,1,123
-0.418782,µm,Surface,Ellipsoid Axis C,1,124
-0.408876,µm,Surface,Ellipsoid Axis C,1,125
-0.218649,µm,Surface,Ellipsoid Axis C,1,126
-0.758962,µm,Surface,Ellipsoid Axis C,1,127
-0.129749,µm,Surface,Ellipsoid Axis C,1,128
-0.489754,µm,Surface,Ellipsoid Axis C,1,129
-0.616668,µm,Surface,Ellipsoid Axis C,1,130
-0.449675,µm,Surface,Ellipsoid Axis C,1,131
-0.204038,µm,Surface,Ellipsoid Axis C,1,132
-0.578702,µm,Surface,Ellipsoid Axis C,1,133
-0.477483,µm,Surface,Ellipsoid Axis C,1,134
0.0207486,µm,Surface,Ellipsoid Axis C,1,135
0.365055,µm,Surface,Ellipsoid Axis C,1,136
0.0752128,µm,Surface,Ellipsoid Axis C,1,137
-0.14309,µm,Surface,Ellipsoid Axis C,1,138
-0.21667,µm,Surface,Ellipsoid Axis C,1,139
-0.483546,µm,Surface,Ellipsoid Axis C,1,140
-0.212502,µm,Surface,Ellipsoid Axis C,1,141
-0.408715,µm,Surface,Ellipsoid Axis C,1,142
-0.200627,µm,Surface,Ellipsoid Axis C,1,143
-0.387521,µm,Surface,Ellipsoid Axis C,1,144
-0.716395,µm,Surface,Ellipsoid Axis C,1,145
0.237206,µm,Surface,Ellipsoid Axis C,1,146
-0.507799,µm,Surface,Ellipsoid Axis C,1,147
-0.476159,µm,Surface,Ellipsoid Axis C,1,148
-0.832363,µm,Surface,Ellipsoid Axis C,1,149
-0.243564,µm,Surface,Ellipsoid Axis C,1,150
-0.103352,µm,Surface,Ellipsoid Axis C,1,151
0.67702,µm,Surface,Ellipsoid Axis C,1,152
-0.0431916,µm,Surface,Ellipsoid Axis C,1,153
0.998778,µm,Surface,Ellipsoid Axis C,1,154
0.166311,µm,Surface,Ellipsoid Axis C,1,155
-0.132975,µm,Surface,Ellipsoid Axis C,1,156
-0.254644,µm,Surface,Ellipsoid Axis C,1,157
-0.368257,µm,Surface,Ellipsoid Axis C,1,158
-0.0983819,µm,Surface,Ellipsoid Axis C,1,159
-0.0904745,µm,Surface,Ellipsoid Axis C,1,160
0.151808,µm,Surface,Ellipsoid Axis C,1,161
-0.966897,µm,Surface,Ellipsoid Axis C,1,162
0.438172,µm,Surface,Ellipsoid Axis C,1,163
-0.208325,µm,Surface,Ellipsoid Axis C,1,164
-0.470145,µm,Surface,Ellipsoid Axis C,1,165
-0.925733,µm,Surface,Ellipsoid Axis C,1,166
0.015746,µm,Surface,Ellipsoid Axis C,1,167
-0.10682,µm,Surface,Ellipsoid Axis C,1,168
-0.788549,µm,Surface,Ellipsoid Axis C,1,169
-0.111755,µm,Surface,Ellipsoid Axis C,1,170
-0.568957,µm,Surface,Ellipsoid Axis C,1,171
-0.813085,µm,Surface,Ellipsoid Axis C,1,172
0.447688,µm,Surface,Ellipsoid Axis C,1,173
-0.344162,µm,Surface,Ellipsoid Axis C,1,174
-0.133399,µm,Surface,Ellipsoid Axis C,1,175
-0.129588,µm,Surface,Ellipsoid Axis C,1,176
-0.147847,µm,Surface,Ellipsoid Axis C,1,177
0.242223,µm,Surface,Ellipsoid Axis C,1,178
-0.0252095,µm,Surface,Ellipsoid Axis C,1,179
-0.176814,µm,Surface,Ellipsoid Axis C,1,180
-0.989466,µm,Surface,Ellipsoid Axis C,1,181
0.670981,µm,Surface,Ellipsoid Axis C,1,182
-0.188759,µm,Surface,Ellipsoid Axis C,1,183
-0.128281,µm,Surface,Ellipsoid Axis C,1,184
-0.928189,µm,Surface,Ellipsoid Axis C,1,185
-0.286863,µm,Surface,Ellipsoid Axis C,1,186
-0.242604,µm,Surface,Ellipsoid Axis C,1,187
0.137582,µm,Surface,Ellipsoid Axis C,1,188
0.238679,µm,Surface,Ellipsoid Axis C,1,189
-0.640035,µm,Surface,Ellipsoid Axis C,1,190
-0.149145,µm,Surface,Ellipsoid Axis C,1,191
0.516641,µm,Surface,Ellipsoid Axis C,1,192
-0.171286,µm,Surface,Ellipsoid Axis C,1,193
-0.721114,µm,Surface,Ellipsoid Axis C,1,194
0.145464,µm,Surface,Ellipsoid Axis C,1,195
-0.963183,µm,Surface,Ellipsoid Axis C,1,196
