Ellipsoid Axis A X,,,,,
 ==================== ,,,,,
Ellipsoid Axis A X,Unit,Category,Collection,Time,ID
0.143792,µm,Surface,Ellipsoid Axis A,1,110
0.981461,µm,Surface,Ellipsoid Axis A,1,111
-0.93476,µm,Surface,Ellipsoid Axis A,1,112
0.507488,µm,Surface,Ellipsoid Axis A,1,113
0.305074,µm,Surface,Ellipsoid Axis A,1,114
-0.423248,µm,Surface,Ellipsoid Axis A,1,115
0.688278,µm,Surface,Ellipsoid Axis A,1,116
0.984235,µm,Surface,Ellipsoid Axis A,1,117
0.621311,µm,Surface,Ellipsoid Axis A,1,118
-0.806998,µm,Surface,Ellipsoid Axis A,1,119
0.854762,µm,Surface,Ellipsoid Axis A,1,120
0.963581,µm,Surface,Ellipsoid Axis A,1,121
0.524713,µm,Surface,Ellipsoid Axis A,1,122
-0.939927,µm,Surface,Ellipsoid Axis A,1,123
0.807613,µm,Surface,Ellipsoid Axis A,1,124
0.887572,µm,Surface,Ellipsoid Axis A,1,125
0.845901,µm,Surface,Ellipsoid Axis A,1,126
-0.468263,µm,Surface,Ellipsoid Axis A,1,127
0.519708,µm,Surface,Ellipsoid Axis A,1,128
0.99245,µm,Surface,Ellipsoid Axis A,1,129
0.999476,µm,Surface,Ellipsoid Axis A,1,130
0.333655,µm,Surface,Ellipsoid Axis A,1,131
0.466501,µm,Surface,Ellipsoid Axis A,1,132
0.961771,µm,Surface,Ellipsoid Axis A,1,133
0.0651043,µm,Surface,Ellipsoid Axis A,1,134
0.704208,µm,Surface,Ellipsoid Axis A,1,135
0.637348,µm,Surface,Ellipsoid Axis A,1,136
-0.972657,µm,Surface,Ellipsoid Axis A,1,137
-0.0542982,µm,Surface,Ellipsoid Axis A,1,138
0.317379,µm,Surface,Ellipsoid Axis A,1,139
0.464497,µm,Surface,Ellipsoid Axis A,1,140
0.94157,µm,Surface,Ellipsoid Axis A,1,141
-0.757986,µm,Surface,Ellipsoid Axis A,1,142
0.075829,µm,Surface,Ellipsoid Axis A,1,143
0.290377,µm,Surface,Ellipsoid Axis A,1,144
0.715298,µm,Surface,Ellipsoid Axis A,1,145
0.995756,µm,Surface,Ellipsoid Axis A,1,146
0.954854,µm,Surface,Ellipsoid Axis A,1,147
0.975864,µm,Surface,Ellipsoid Axis A,1,148
0.814668,µm,Surface,Ellipsoid Axis A,1,149
0.220574,µm,Surface,Ellipsoid Axis A,1,150
-0.27726,µm,Surface,Ellipsoid Axis A,1,151
-0.0931011,µm,Surface,Ellipsoid Axis A,1,152
-0.0718987,µm,Surface,Ellipsoid Axis A,1,153
0.0837713,µm,Surface,Ellipsoid Axis A,1,154
0.358016,µm,Surface,Ellipsoid Axis A,1,155
-0.135729,µm,Surface,Ellipsoid Axis A,1,156
0.283441,µm,Surface,Ellipsoid Axis A,1,157
0.909815,µm,Surface,Ellipsoid Axis A,1,158
0.299545,µm,Surface,Ellipsoid Axis A,1,159
0.0890657,µm,Surface,Ellipsoid Axis A,1,160
-0.574734,µm,Surface,Ellipsoid Axis A,1,161
0.948909,µm,Surface,Ellipsoid Axis A,1,162
0.807885,µm,Surface,Ellipsoid Axis A,1,163
0.0221323,µm,Surface,Ellipsoid Axis A,1,164
0.68646,µm,Surface,Ellipsoid Axis A,1,165
0.939563,µm,Surface,Ellipsoid Axis A,1,166
-0.31694,µm,Surface,Ellipsoid Axis A,1,167
0.44941,µm,Surface,Ellipsoid Axis A,1,168
-0.502039,µm,Surface,Ellipsoid Axis A,1,169
0.446537,µm,Surface,Ellipsoid Axis A,1,170
-0.555805,µm,Surface,Ellipsoid Axis A,1,171
-0.808178,µm,Surface,Ellipsoid Axis A,1,172
-0.704497,µm,Surface,Ellipsoid Axis A,1,173
0.203152,µm,Surface,Ellipsoid Axis A,1,174
0.176995,µm,Surface,Ellipsoid Axis A,1,175
0.00331098,µm,Surface,Ellipsoid Axis A,1,176
-0.954781,µm,Surface,Ellipsoid Axis A,1,177
0.333214,µm,Surface,Ellipsoid Axis A,1,178
0.0639413,µm,Surface,Ellipsoid Axis A,1,179
0.126685,µm,Surface,Ellipsoid Axis A,1,180
-0.0439643,µm,Surface,Ellipsoid Axis A,1,181
0.700386,µm,Surface,Ellipsoid Axis A,1,182
0.0570593,µm,Surface,Ellipsoid Axis A,1,183
0.121175,µm,Surface,Ellipsoid Axis A,1,184
0.898931,µm,Surface,Ellipsoid Axis A,1,185
-0.108282,µm,Surface,Ellipsoid Axis A,1,186
0.985951,µm,Surface,Ellipsoid Axis A,1,187
-0.195158,µm,Surface,Ellipsoid Axis A,1,188
0.936271,µm,Surface,Ellipsoid Axis A,1,189
0.996268,µm,Surface,Ellipsoid Axis A,1,190
6.33E-12,µm,Surface,Ellipsoid Axis A,1,191
0.613835,µm,Surface,Ellipsoid Axis A,1,192
0.235664,µm,Surface,Ellipsoid Axis A,1,193
-0.706172,µm,Surface,Ellipsoid Axis A,1,194
0.950552,µm,Surface,Ellipsoid Axis A,1,195
0.99258,µm,Surface,Ellipsoid Axis A,1,196
