Area,,,,
 ==================== ,,,,
Area,Unit,Category,Time,ID
4356.73,µm^2,Surface,1,178
2355.75,µm^2,Surface,1,179
5979.86,µm^2,Surface,1,180
5458.99,µm^2,Surface,1,181
7286.59,µm^2,Surface,1,182
445.075,µm^2,Surface,1,183
585.771,µm^2,Surface,1,184
1267.09,µm^2,Surface,1,185
8804.96,µm^2,Surface,1,186
1808.62,µm^2,Surface,1,187
3235.09,µm^2,Surface,1,188
504.798,µm^2,Surface,1,189
1652.06,µm^2,Surface,1,190
200.789,µm^2,Surface,1,191
6990.23,µm^2,Surface,1,192
2399.88,µm^2,Surface,1,193
5659.58,µm^2,Surface,1,194
5858.93,µm^2,Surface,1,195
4867.7,µm^2,Surface,1,196
