Ellipsoid Axis A Y,,,,,
 ==================== ,,,,,
Ellipsoid Axis A Y,Unit,Category,Collection,Time,ID
-0.940753,µm,Surface,Ellipsoid Axis A,1,109
0.989585,µm,Surface,Ellipsoid Axis A,1,110
0.107584,µm,Surface,Ellipsoid Axis A,1,111
-0.0638068,µm,Surface,Ellipsoid Axis A,1,112
-0.822047,µm,Surface,Ellipsoid Axis A,1,113
0.952321,µm,Surface,Ellipsoid Axis A,1,114
0.871665,µm,Surface,Ellipsoid Axis A,1,115
-0.725378,µm,Surface,Ellipsoid Axis A,1,116
-0.157461,µm,Surface,Ellipsoid Axis A,1,117
0.764661,µm,Surface,Ellipsoid Axis A,1,118
-0.573569,µm,Surface,Ellipsoid Axis A,1,119
0.511055,µm,Surface,Ellipsoid Axis A,1,120
-0.159089,µm,Surface,Ellipsoid Axis A,1,121
-0.843553,µm,Surface,Ellipsoid Axis A,1,122
-0.14728,µm,Surface,Ellipsoid Axis A,1,123
-0.586228,µm,Surface,Ellipsoid Axis A,1,124
-0.0477962,µm,Surface,Ellipsoid Axis A,1,125
-0.41145,µm,Surface,Ellipsoid Axis A,1,126
-0.402628,µm,Surface,Ellipsoid Axis A,1,127
-0.84295,µm,Surface,Ellipsoid Axis A,1,128
0.0447813,µm,Surface,Ellipsoid Axis A,1,129
0.025257,µm,Surface,Ellipsoid Axis A,1,130
-0.875569,µm,Surface,Ellipsoid Axis A,1,131
0.878678,µm,Surface,Ellipsoid Axis A,1,132
-0.114621,µm,Surface,Ellipsoid Axis A,1,133
-0.873532,µm,Surface,Ellipsoid Axis A,1,134
-0.709541,µm,Surface,Ellipsoid Axis A,1,135
-0.769776,µm,Surface,Ellipsoid Axis A,1,136
0.145663,µm,Surface,Ellipsoid Axis A,1,137
-0.987057,µm,Surface,Ellipsoid Axis A,1,138
-0.901744,µm,Surface,Ellipsoid Axis A,1,139
0.871403,µm,Surface,Ellipsoid Axis A,1,140
0.327616,µm,Surface,Ellipsoid Axis A,1,141
0.608637,µm,Surface,Ellipsoid Axis A,1,142
0.978233,µm,Surface,Ellipsoid Axis A,1,143
0.910919,µm,Surface,Ellipsoid Axis A,1,144
-0.690767,µm,Surface,Ellipsoid Axis A,1,145
0.00176919,µm,Surface,Ellipsoid Axis A,1,146
-0.276474,µm,Surface,Ellipsoid Axis A,1,147
-0.21692,µm,Surface,Ellipsoid Axis A,1,148
-0.545112,µm,Surface,Ellipsoid Axis A,1,149
-0.969662,µm,Surface,Ellipsoid Axis A,1,150
-0.952293,µm,Surface,Ellipsoid Axis A,1,151
0.351139,µm,Surface,Ellipsoid Axis A,1,152
0.995007,µm,Surface,Ellipsoid Axis A,1,153
-0.0316623,µm,Surface,Ellipsoid Axis A,1,154
-0.931025,µm,Surface,Ellipsoid Axis A,1,155
-0.979841,µm,Surface,Ellipsoid Axis A,1,156
0.958911,µm,Surface,Ellipsoid Axis A,1,157
-0.415014,µm,Surface,Ellipsoid Axis A,1,158
0.953975,µm,Surface,Ellipsoid Axis A,1,159
-0.994953,µm,Surface,Ellipsoid Axis A,1,160
0.526629,µm,Surface,Ellipsoid Axis A,1,161
-0.208853,µm,Surface,Ellipsoid Axis A,1,162
-0.408724,µm,Surface,Ellipsoid Axis A,1,163
-0.977721,µm,Surface,Ellipsoid Axis A,1,164
-0.275966,µm,Surface,Ellipsoid Axis A,1,165
-0.328929,µm,Surface,Ellipsoid Axis A,1,166
-0.947673,µm,Surface,Ellipsoid Axis A,1,167
-0.8882,µm,Surface,Ellipsoid Axis A,1,168
-0.500956,µm,Surface,Ellipsoid Axis A,1,169
0.894512,µm,Surface,Ellipsoid Axis A,1,170
-0.484464,µm,Surface,Ellipsoid Axis A,1,171
